run_id,task_id,selected_tool,tool_success,tool_a_reliability,tool_b_reliability,used_exploration,latency_sec,retry_count
3,1,tool_a,1,0.5,0.5,0,0.0,0
3,2,tool_a,1,1.0,0.5,0,0.0,0
3,3,tool_a,1,1.0,0.5,0,0.0,0
3,4,tool_a,1,1.0,0.5,0,0.0,0
3,5,tool_a,1,1.0,0.5,0,0.0,0
3,6,tool_b,1,1.0,0.5,1,0.0,0
3,7,tool_b,1,1.0,1.0,0,0.0,0
3,8,tool_b,1,1.0,1.0,0,0.0,0
3,9,tool_b,1,1.0,1.0,0,0.0,0
3,10,tool_b,1,1.0,1.0,0,0.0,0
3,11,tool_b,0,1.0,1.0,0,0.0,0
3,12,tool_a,1,1.0,0.8333333333333334,0,0.0,0
3,13,tool_a,1,1.0,0.8333333333333334,0,0.0,0
3,14,tool_a,1,1.0,0.8333333333333334,0,0.0,0
3,15,tool_a,1,1.0,0.8333333333333334,0,0.0,0
3,16,tool_a,1,1.0,0.8333333333333334,0,0.0,0
3,17,tool_a,1,1.0,0.8333333333333334,0,0.0,0
3,18,tool_a,1,1.0,0.8333333333333334,0,0.0,0
3,19,tool_a,1,1.0,0.8333333333333334,0,0.0,0
3,20,tool_a,1,1.0,0.8333333333333334,0,0.0,0
3,21,tool_b,1,1.0,0.8333333333333334,1,0.0,0
3,22,tool_a,1,1.0,0.8571428571428571,0,0.0,0
3,23,tool_a,0,1.0,0.8571428571428571,0,0.0,0
3,24,tool_a,1,0.9,0.8571428571428571,0,0.0,0
3,25,tool_a,1,0.9,0.8571428571428571,0,0.0,0
3,26,tool_a,0,0.9,0.8571428571428571,0,0.0,0
3,27,tool_b,1,0.8,0.8571428571428571,0,0.0,0
3,28,tool_b,1,0.8,0.875,0,0.0,0
3,29,tool_a,1,0.8,0.8888888888888888,1,0.0,0
3,30,tool_b,0,0.8,0.8888888888888888,0,0.0,0
3,31,tool_b,1,0.8,0.8,0,0.0,0
3,32,tool_b,1,0.8,0.8,0,0.0,0
3,33,tool_b,1,0.8,0.8,0,0.0,0
3,34,tool_a,1,0.8,0.8,1,0.0,0
3,35,tool_a,0,0.8,0.8,0,0.0,0
3,36,tool_b,0,0.7,0.8,0,0.0,0
3,37,tool_b,1,0.7,0.7,0,0.0,0
3,38,tool_b,1,0.7,0.7,0,0.0,0
3,39,tool_b,1,0.7,0.8,0,0.0,0
3,40,tool_b,1,0.7,0.8,0,0.0,0
3,41,tool_b,1,0.7,0.8,0,0.0,0
3,42,tool_b,1,0.7,0.8,0,0.0,0
3,43,tool_b,0,0.7,0.9,0,0.0,0
3,44,tool_b,1,0.7,0.8,0,0.0,0
3,45,tool_a,1,0.7,0.8,1,0.0,0
3,46,tool_b,1,0.7,0.8,0,0.0,0
3,47,tool_b,1,0.7,0.8,0,0.0,0
3,48,tool_b,1,0.7,0.9,0,0.0,0
3,49,tool_b,1,0.7,0.9,0,0.0,0
3,50,tool_b,1,0.7,0.9,0,0.0,0
3,51,tool_b,1,0.7,0.9,0,0.0,0
3,52,tool_b,0,0.7,0.9,0,0.0,0
3,53,tool_b,0,0.7,0.8,0,0.0,0
3,54,tool_a,1,0.7,0.7,1,0.0,0
3,55,tool_a,1,0.7,0.7,0,0.0,0
3,56,tool_a,0,0.7,0.7,0,0.0,0
3,57,tool_a,1,0.7,0.7,0,0.0,0
3,58,tool_a,0,0.7,0.7,0,0.0,0
3,59,tool_b,1,0.6,0.7,0,0.0,0
3,60,tool_b,1,0.6,0.8,0,0.0,0
3,61,tool_b,0,0.6,0.8,0,0.0,0
3,62,tool_b,1,0.6,0.7,0,0.0,0
3,63,tool_b,1,0.6,0.7,0,0.0,0
